pop1,pop2,prpshrd
21,71,0.1983352
21,72,0.2455118
21,73,0.2412933
21,74,0.24152
21,75,0.2444372
21,76,0.246812
21,78,0.2189555
22,23,0.2200751
22,24,0.2025625
22,25,0.2275795
22,26,0.2202187
22,27,0.1873134
22,28,0.2258928
22,29,0.2220294
22,31,0.2268994
22,32,0.2130685
22,33,0.2327533
22,34,0.2226373
22,35,0.2286193
22,36,0.2359977
22,37,0.2285338
22,38,0.2288819
22,39,0.2244161
22,40,0.2336123
22,41,0.2410723
22,42,0.2058853
22,43,0.2387703
22,44,0.2243432
22,45,0.2235801
22,46,0.2462381
22,47,0.2298504
22,48,0.243282
22,49,0.2405969
22,50,0.2233847
22,51,0.2324614
22,52,0.2347601
22,53,0.2474527
22,54,0.2375301
22,55,0.2379303
22,56,0.2446226
22,57,0.2407693
22,58,0.2402764
22,59,0.220674
22,60,0.2343411
22,61,0.2373583
22,62,0.2290338
22,63,0.2433792
22,64,0.2275281
22,65,0.2323833
